Id,Prediction
activate.v.bnc.00024693,38204
activate.v.bnc.00044852,38203
activate.v.bnc.00044866,38203
activate.v.bnc.00044869,38203
activate.v.bnc.00050506,38204
activate.v.bnc.00050507,38205
activate.v.bnc.00056554,38204
activate.v.bnc.00056686,38203
activate.v.bnc.00067644,38205
activate.v.bnc.00067694,38205
activate.v.bnc.00072657,38203
activate.v.bnc.00089813,38204
activate.v.bnc.00099439,38204
activate.v.bnc.00195891,38205
activate.v.bnc.00197716,38203
activate.v.bnc.00210727,38205
activate.v.bnc.00248089,38204
activate.v.bnc.00251499,38204
activate.v.bnc.00270989,38205
activate.v.bnc.00307829,38205
activate.v.bnc.00312935,38204
activate.v.bnc.00357129,38205
activate.v.bnc.00421223,38205
activate.v.bnc.00421381,38204
activate.v.bnc.00430058,38204
activate.v.bnc.00442716,38205
activate.v.bnc.00445800,38203
activate.v.bnc.00455954,38203
activate.v.bnc.00466012,38204
activate.v.bnc.00487700,38204
activate.v.bnc.00504198,38204
activate.v.bnc.00504847,38203
activate.v.bnc.00508510,38205
activate.v.bnc.00509400,38203
activate.v.bnc.00509428,38203
activate.v.bnc.00511084,38203
activate.v.bnc.00511093,38203
activate.v.bnc.00522938,38205
activate.v.bnc.00536782,38205
activate.v.bnc.00538373,38205
activate.v.bnc.00554444,38203
activate.v.bnc.00573075,38205
activate.v.bnc.00600931,38203
activate.v.bnc.00611631,38203
activate.v.bnc.00617820,38203
activate.v.bnc.00617926,38203
activate.v.bnc.00618027,38203
activate.v.bnc.00618308,38205
activate.v.bnc.00618351,38203
activate.v.bnc.00618998,38203
activate.v.bnc.00619004,38204
activate.v.bnc.00619023,38205
activate.v.bnc.00619114,38203
activate.v.bnc.00619117,38205
activate.v.bnc.00619121,38204
activate.v.bnc.00622952,38203
activate.v.bnc.00630111,38204
activate.v.bnc.00635669,38205
activate.v.bnc.00651647,38203
activate.v.bnc.00654570,38205
activate.v.bnc.00660201,38203
activate.v.bnc.00683751,38204
activate.v.bnc.00695679,38203
activate.v.bnc.00709425,38203
activate.v.bnc.00709482,38205
activate.v.bnc.00709491,38204
activate.v.bnc.00709504,38203
activate.v.bnc.00709538,38203
activate.v.bnc.00709542,38205
activate.v.bnc.00795202,38204
activate.v.bnc.00795257,38204
activate.v.bnc.00795259,38204
activate.v.bnc.00795637,38205
activate.v.bnc.00833644,38205
activate.v.bnc.00851793,38205
activate.v.bnc.00851871,38203
activate.v.bnc.00851882,38205
activate.v.bnc.00897037,38204
activate.v.bnc.00928923,38205
activate.v.bnc.00928926,38203
activate.v.bnc.00928939,38205
activate.v.bnc.00931302,38203
activate.v.bnc.00935121,38205
activate.v.bnc.00935123,38203
activate.v.bnc.00935127,38204
activate.v.bnc.00935319,38204
activate.v.bnc.00938095,38203
activate.v.bnc.00939944,38203
activate.v.bnc.00941772,38204
activate.v.bnc.00945604,38205
activate.v.bnc.00945615,38205
activate.v.bnc.00945684,38203
activate.v.bnc.00953632,38205
activate.v.bnc.00953642,38204
activate.v.bnc.00958265,38204
activate.v.bnc.00962430,38204
activate.v.bnc.00969714,38203
activate.v.bnc.00972290,38205
activate.v.bnc.00972291,38205
activate.v.bnc.00975929,38203
activate.v.bnc.00997343,38204
activate.v.bnc.01000398,38204
activate.v.bnc.01000863,38204
activate.v.bnc.01003340,38205
activate.v.bnc.01009610,38203
activate.v.bnc.01039017,38205
activate.v.bnc.01052885,38203
activate.v.bnc.01053057,38203
activate.v.bnc.01064435,38204
activate.v.bnc.01100525,38204
activate.v.bnc.01102725,38203
activate.v.bnc.01123744,38204
activate.v.bnc.01128832,38205
activate.v.bnc.01133779,38205
activate.v.bnc.01169757,38205
activate.v.bnc.01170345,38205
activate.v.bnc.01171650,38205
activate.v.bnc.01172145,38204
activate.v.bnc.01172270,38203
activate.v.bnc.01178361,38203
activate.v.bnc.01199683,38205
activate.v.bnc.01199697,38204
activate.v.bnc.01199701,38205
activate.v.bnc.01201521,38204
activate.v.bnc.01204487,38204
activate.v.bnc.01206797,38204
activate.v.bnc.01210816,38205
activate.v.bnc.01276214,38205
activate.v.bnc.01276219,38203
activate.v.bnc.01279048,38203
activate.v.bnc.01292892,38204
activate.v.bnc.01308739,38204
activate.v.bnc.01318494,38203
activate.v.bnc.01366679,38204
activate.v.bnc.01371077,38205
activate.v.bnc.01371597,38205
activate.v.bnc.01371666,38203
activate.v.bnc.01372084,38205
activate.v.bnc.01372090,38204
activate.v.bnc.01374857,38204
activate.v.bnc.01415729,38204
activate.v.bnc.01450597,38203
activate.v.bnc.01450608,38205
activate.v.bnc.01464815,38203
activate.v.bnc.01479895,38205
activate.v.bnc.01513543,38205
activate.v.bnc.01597373,38205
activate.v.bnc.01604532,38204
activate.v.bnc.01605268,38203
activate.v.bnc.01605269,38203
activate.v.bnc.01605415,38204
