Id,Prediction
<<<<<<< HEAD
=======
activate.v.bnc.00024693,38205
activate.v.bnc.00044852,38203
activate.v.bnc.00044866,38205
activate.v.bnc.00044869,38204
activate.v.bnc.00050506,38205
activate.v.bnc.00050507,38205
activate.v.bnc.00056554,38205
activate.v.bnc.00056686,38204
activate.v.bnc.00067644,38203
activate.v.bnc.00067694,38203
activate.v.bnc.00072657,38204
activate.v.bnc.00089813,38205
activate.v.bnc.00099439,38205
activate.v.bnc.00195891,38204
activate.v.bnc.00197716,38204
activate.v.bnc.00210727,38204
activate.v.bnc.00248089,38204
activate.v.bnc.00251499,38204
activate.v.bnc.00270989,38203
activate.v.bnc.00307829,38204
activate.v.bnc.00312935,38205
activate.v.bnc.00357129,38204
activate.v.bnc.00421223,38203
activate.v.bnc.00421381,38204
activate.v.bnc.00430058,38205
activate.v.bnc.00442716,38204
activate.v.bnc.00445800,38203
activate.v.bnc.00455954,38205
activate.v.bnc.00466012,38205
activate.v.bnc.00487700,38205
activate.v.bnc.00504198,38203
activate.v.bnc.00504847,38203
activate.v.bnc.00508510,38205
activate.v.bnc.00509400,38205
activate.v.bnc.00509428,38205
activate.v.bnc.00511084,38204
activate.v.bnc.00511093,38204
activate.v.bnc.00522938,38203
activate.v.bnc.00536782,38203
activate.v.bnc.00538373,38203
activate.v.bnc.00554444,38204
activate.v.bnc.00573075,38205
activate.v.bnc.00600931,38204
activate.v.bnc.00611631,38205
activate.v.bnc.00617820,38203
activate.v.bnc.00617926,38203
activate.v.bnc.00618027,38203
activate.v.bnc.00618308,38204
activate.v.bnc.00618351,38204
activate.v.bnc.00618998,38204
activate.v.bnc.00619004,38205
activate.v.bnc.00619023,38205
activate.v.bnc.00619114,38205
activate.v.bnc.00619117,38204
activate.v.bnc.00619121,38205
activate.v.bnc.00622952,38204
activate.v.bnc.00630111,38204
activate.v.bnc.00635669,38203
activate.v.bnc.00651647,38204
activate.v.bnc.00654570,38204
activate.v.bnc.00660201,38203
activate.v.bnc.00683751,38205
activate.v.bnc.00695679,38203
activate.v.bnc.00709425,38204
activate.v.bnc.00709482,38204
activate.v.bnc.00709491,38203
activate.v.bnc.00709504,38203
activate.v.bnc.00709538,38204
activate.v.bnc.00709542,38204
activate.v.bnc.00795202,38205
activate.v.bnc.00795257,38203
activate.v.bnc.00795259,38205
activate.v.bnc.00795637,38203
activate.v.bnc.00833644,38204
activate.v.bnc.00851793,38205
activate.v.bnc.00851871,38205
activate.v.bnc.00851882,38205
activate.v.bnc.00897037,38205
activate.v.bnc.00928923,38204
activate.v.bnc.00928926,38205
activate.v.bnc.00928939,38205
activate.v.bnc.00931302,38204
activate.v.bnc.00935121,38205
activate.v.bnc.00935123,38204
activate.v.bnc.00935127,38203
activate.v.bnc.00935319,38203
activate.v.bnc.00938095,38203
activate.v.bnc.00939944,38204
activate.v.bnc.00941772,38204
activate.v.bnc.00945604,38204
activate.v.bnc.00945615,38204
activate.v.bnc.00945684,38204
activate.v.bnc.00953632,38205
activate.v.bnc.00953642,38205
activate.v.bnc.00958265,38204
activate.v.bnc.00962430,38203
activate.v.bnc.00969714,38203
activate.v.bnc.00972290,38205
activate.v.bnc.00972291,38204
activate.v.bnc.00975929,38203
activate.v.bnc.00997343,38204
activate.v.bnc.01000398,38205
activate.v.bnc.01000863,38204
activate.v.bnc.01003340,38203
activate.v.bnc.01009610,38205
activate.v.bnc.01039017,38205
activate.v.bnc.01052885,38204
activate.v.bnc.01053057,38205
activate.v.bnc.01064435,38205
activate.v.bnc.01100525,38204
activate.v.bnc.01102725,38203
activate.v.bnc.01123744,38204
activate.v.bnc.01128832,38203
activate.v.bnc.01133779,38203
activate.v.bnc.01169757,38205
activate.v.bnc.01170345,38204
activate.v.bnc.01171650,38203
activate.v.bnc.01172145,38205
activate.v.bnc.01172270,38204
activate.v.bnc.01178361,38205
activate.v.bnc.01199683,38205
activate.v.bnc.01199697,38204
activate.v.bnc.01199701,38203
activate.v.bnc.01201521,38205
activate.v.bnc.01204487,38205
activate.v.bnc.01206797,38204
activate.v.bnc.01210816,38204
activate.v.bnc.01276214,38204
activate.v.bnc.01276219,38205
activate.v.bnc.01279048,38204
activate.v.bnc.01292892,38204
activate.v.bnc.01308739,38203
activate.v.bnc.01318494,38205
activate.v.bnc.01366679,38204
activate.v.bnc.01371077,38204
activate.v.bnc.01371597,38205
activate.v.bnc.01371666,38203
activate.v.bnc.01372084,38205
activate.v.bnc.01372090,38204
activate.v.bnc.01374857,38204
activate.v.bnc.01415729,38204
activate.v.bnc.01450597,38204
activate.v.bnc.01450608,38205
activate.v.bnc.01464815,38204
activate.v.bnc.01479895,38204
activate.v.bnc.01513543,38205
activate.v.bnc.01597373,38203
activate.v.bnc.01604532,38203
activate.v.bnc.01605268,38205
activate.v.bnc.01605269,38204
activate.v.bnc.01605415,38204
activate.v.bnc.01650342,38203
activate.v.bnc.01716937,38205
activate.v.bnc.01731519,38204
activate.v.bnc.01731520,38205
activate.v.bnc.01762238,38203
activate.v.bnc.01767619,38203
activate.v.bnc.01768110,38203
activate.v.bnc.01772038,38205
activate.v.bnc.01775004,38203
activate.v.bnc.01775428,38204
activate.v.bnc.01808341,38205
activate.v.bnc.01819409,38203
activate.v.bnc.01819427,38203
activate.v.bnc.01819946,38203
activate.v.bnc.01820100,38205
activate.v.bnc.01820168,38205
activate.v.bnc.01820220,38204
activate.v.bnc.01820329,38205
activate.v.bnc.01833487,38205
activate.v.bnc.01840231,38203
activate.v.bnc.01850569,38204
activate.v.bnc.01870620,38204
activate.v.bnc.01874636,38205
activate.v.bnc.01876754,38204
activate.v.bnc.01878690,38203
activate.v.bnc.01884671,38205
activate.v.bnc.01884953,38203
activate.v.bnc.01898698,38203
activate.v.bnc.01898896,38204
activate.v.bnc.01899500,38204
activate.v.bnc.01899834,38203
activate.v.bnc.01899966,38205
activate.v.bnc.01900282,38205
activate.v.bnc.01918875,38203
activate.v.bnc.01919328,38203
activate.v.bnc.01919637,38204
activate.v.bnc.01919639,38204
activate.v.bnc.01919761,38203
activate.v.bnc.01919762,38203
activate.v.bnc.01919846,38203
activate.v.bnc.01919884,38205
activate.v.bnc.01919885,38203
activate.v.bnc.01920012,38204
activate.v.bnc.01927086,38205
activate.v.bnc.01967270,38203
activate.v.bnc.01967564,38204
activate.v.bnc.01971058,38203
activate.v.bnc.01973574,38205
activate.v.bnc.01992378,38205
activate.v.bnc.01992435,38205
activate.v.bnc.02009265,38205
activate.v.bnc.02009557,38203
activate.v.bnc.02009576,38205
activate.v.bnc.02009592,38205
activate.v.bnc.02009633,38204
activate.v.bnc.02009835,38203
activate.v.bnc.02010353,38205
activate.v.bnc.02010632,38204
activate.v.bnc.02011552,38205
activate.v.bnc.02012206,38204
activate.v.bnc.02012483,38204
activate.v.bnc.02012898,38203
activate.v.bnc.02013464,38204
activate.v.bnc.02013514,38204
activate.v.bnc.02013578,38204
activate.v.bnc.02013902,38203
activate.v.bnc.02014009,38204
activate.v.bnc.02014015,38204
activate.v.bnc.02014485,38205
activate.v.bnc.02015246,38205
activate.v.bnc.02015290,38204
activate.v.bnc.02015368,38203
activate.v.bnc.02015487,38204
activate.v.bnc.02015488,38204
